Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
01770,MA,15.817,42.231947,-71.372963
01772,MA,13.616,42.302877,-71.530828
01773,MA,13.62,42.425506,-71.310812
01775,MA,17.313,42.429688,-71.512514
01776,MA,24.239,42.383367,-71.42107
01778,MA,15.208,42.343687,-71.381186
01801,MA,12.654000000000002,42.488769,-71.154438
01803,MA,11.696,42.503227,-71.201713
01810,MA,30.849,42.648044,-71.161751
01821,MA,16.567,42.54933,-71.251725
01824,MA,17.75,42.590790000000005,-71.355182
01826,MA,20.627,42.679722999999996,-71.30068
01827,MA,16.456,42.676149,-71.499772
01830,MA,13.798,42.796313,-71.053436
01832,MA,11.359000000000002,42.791114,-71.132859
01833,MA,12.86,42.727878999999994,-70.982036
01834,MA,8.884,42.7539,-71.015935
01835,MA,7.811,42.751233,-71.0943
01840,MA,0.498,42.706763,-71.160403
01841,MA,3.089,42.712015,-71.164873
01843,MA,3.3689999999999998,42.689974,-71.160383
01844,MA,22.219,42.742468,-71.179218
01845,MA,26.305999999999997,42.673909,-71.091334
01850,MA,1.36,42.656045,-71.303309
01851,MA,3.338,42.627812,-71.33533
01852,MA,4.953,42.631912,-71.296025
01854,MA,3.9339999999999997,42.649481,-71.348229
01860,MA,8.458,42.838603000000006,-71.011997
01862,MA,9.242,42.578542999999996,-71.295592
01863,MA,4.62,42.63378,-71.38946999999999
01864,MA,13.14,42.578222,-71.084398
01867,MA,9.936,42.535183,-71.105423
01876,MA,20.459,42.611801,-71.227571
01879,MA,16.782,42.667761999999996,-71.42882
01880,MA,6.9079999999999995,42.501523999999996,-71.067489
01886,MA,30.252,42.585541,-71.44025
01887,MA,16.977999999999998,42.564646999999994,-71.164516
01890,MA,6.031000000000001,42.452752000000004,-71.144319
01901,MA,0.248,42.460419,-70.94637900000001
01902,MA,2.403,42.471039000000005,-70.941535
01904,MA,4.521,42.492456,-70.97393000000001
01905,MA,3.56,42.465998,-70.975792
01906,MA,10.806,42.468432,-71.01394599999999
01907,MA,3.036,42.474145,-70.90659699999999
01908,MA,1.046,42.428256,-70.926041
01913,MA,12.263,42.851293,-70.95581
01915,MA,15.093,42.570665000000005,-70.867583
01921,MA,23.555999999999997,42.683108000000004,-71.01833
01922,MA,9.588,42.757313,-70.914241
01923,MA,13.203,42.574174,-70.95051600000001
01929,MA,13.972000000000001,42.64042,-70.77117199999999
01930,MA,26.193,42.61991,-70.681824
01937,MA,0.073,42.585723,-70.98405100000001
01938,MA,30.432,42.683859999999996,-70.84266600000001
