Zipcode,Population,Pop_W,Pop_B,Pop_A,Pop_H,Median Age,State,Land Area (sq mi),Center Point Lat,Center Point Lng,Pop Density
01098,1149.0,1099.0,8.0,8.0,22.0,52.0,MA,31.352,42.394315,-72.943115,36.648379688696096
01103,2564.0,1378.0,464.0,54.0,1625.0,32.7,MA,0.46,42.104106,-72.592027,5573.913043478261
01104,23485.0,13526.0,2697.0,461.0,12909.0,34.3,MA,5.216,42.134009000000006,-72.56537800000002,4502.492331288343
01105,12027.0,4539.0,2562.0,0.0,7648.0,30.2,MA,1.243,42.099958,-72.580765,9675.78439259855
01106,16007.0,14583.0,160.0,953.0,646.0,46.5,MA,9.301,42.04756500000001,-72.57113000000003,1720.9977421782603
01107,11224.0,6028.0,1527.0,29.0,8954.0,30.3,MA,1.507,42.12106,-72.607068,7447.909754479098
01108,27342.0,15886.0,4585.0,1306.0,11673.0,31.5,MA,3.723,42.080692,-72.56079100000002,7344.077356970186
01109,30541.0,11125.0,11857.0,259.0,11484.0,26.0,MA,5.442,42.119674,-72.549726,5612.0911429621465
01118,14453.0,11006.0,2230.0,563.0,2541.0,38.7,MA,3.595,42.094194,-72.525081,4020.3059805285116
01119,13269.0,8474.0,3379.0,192.0,3375.0,35.4,MA,3.55,42.12497800000001,-72.51120999999998,3737.7464788732395
01128,2498.0,1968.0,388.0,16.0,142.0,47.8,MA,1.117,42.09229600000001,-72.489135,2236.347358997314
01129,7377.0,5435.0,1308.0,111.0,1228.0,41.7,MA,3.424,42.11869,-72.4882,2154.4976635514017
01151,9037.0,5889.0,1508.0,260.0,3324.0,30.4,MA,2.3680000000000003,42.15186,-72.50913100000002,3816.300675675675
01199,0.0,0.0,0.0,0.0,0.0,,MA,0.011,42.120563,-72.60446800000003,0.0
01201,45328.0,39822.0,2533.0,872.0,2377.0,43.3,MA,52.918,42.448236,-73.27372700000002,856.5705431044257
01220,8391.0,8177.0,30.0,8.0,77.0,45.0,MA,24.596,42.623799,-73.116736,341.15303301349815
01222,812.0,812.0,0.0,0.0,6.0,48.0,MA,3.307,42.058703,-73.322175,245.53976413667976
01223,2294.0,2221.0,19.0,11.0,35.0,52.9,MA,69.751,42.312225,-73.110124,32.88841737036028
01224,138.0,122.0,0.0,16.0,0.0,49.6,MA,0.278,42.513163,-73.19574300000002,496.4028776978417
01225,3124.0,3097.0,17.0,0.0,20.0,47.9,MA,25.106,42.563401,-73.153335,124.4324065960328
01226,6892.0,6682.0,41.0,79.0,169.0,47.5,MA,26.378,42.481119,-73.13507299999998,261.27833800894683
01229,114.0,106.0,0.0,0.0,0.0,60.2,MA,0.733,42.276338,-73.33589599999998,155.52523874488404
01230,8048.0,7013.0,167.0,185.0,924.0,48.9,MA,91.522,42.173192,-73.324283,87.93514127750704
01235,2866.0,2776.0,22.0,2.0,19.0,46.9,MA,45.643,42.425676,-73.063012,62.791665753784805
01236,1538.0,1362.0,27.0,13.0,71.0,42.6,MA,4.802,42.266496,-73.378393,320.28321532694713
01237,2841.0,2763.0,58.0,5.0,4.0,39.8,MA,61.823,42.547818,-73.268033,45.95377125018197
01238,5950.0,5715.0,58.0,63.0,173.0,48.6,MA,34.833,42.297501,-73.230148,170.81503172279162
01240,4603.0,4354.0,42.0,141.0,136.0,57.2,MA,21.38,42.367858,-73.269763,215.29466791393827
01242,394.0,393.0,0.0,0.0,0.0,31.4,MA,0.4970000000000001,42.333734,-73.249199,792.7565392354123
01243,374.0,352.0,0.0,3.0,0.0,56.6,MA,18.651,42.350122,-73.024112,20.05254409951209
01244,115.0,115.0,0.0,0.0,0.0,57.0,MA,2.45,42.118094,-73.257497,46.93877551020408
01245,950.0,899.0,15.0,0.0,23.0,54.0,MA,27.98,42.186893,-73.223105,33.95282344531808
01247,15737.0,14858.0,161.0,33.0,476.0,43.3,MA,52.526,42.698526,-73.0843,299.6040056353044
01253,708.0,696.0,7.0,0.0,13.0,50.3,MA,18.267,42.206683,-73.113214,38.75841681721137
01254,954.0,905.0,3.0,25.0,12.0,58.5,MA,14.561,42.382019,-73.365492,65.5174781951789
01255,852.0,806.0,2.0,21.0,10.0,52.0,MA,51.806,42.10749600000001,-73.118607,16.445971509091613
01256,796.0,726.0,43.0,0.0,16.0,45.3,MA,35.845,42.594166,-73.02232,22.206723392383875
01257,2203.0,2147.0,12.0,30.0,6.0,50.9,MA,36.234,42.085244,-73.367483,60.79924932383948
01258,334.0,324.0,2.0,0.0,3.0,62.8,MA,25.807,42.10928,-73.462886,12.942224977719224
01259,563.0,535.0,1.0,7.0,0.0,54.2,MA,25.326,42.075469,-73.234376,22.23011924504462
01260,485.0,485.0,0.0,0.0,0.0,44.4,MA,2.511,42.295696,-73.342543,193.15013938669853
01262,1239.0,1081.0,53.0,20.0,39.0,53.3,MA,12.034,42.292202,-73.319209,102.95828485956456
01264,153.0,153.0,0.0,0.0,0.0,65.9,MA,11.361,42.23159,-73.202428,13.467124372854501
01266,1430.0,1366.0,2.0,13.0,16.0,54.9,MA,26.052,42.312354,-73.388044,54.89021956087824
01267,7884.0,6718.0,299.0,382.0,440.0,30.7,MA,54.554,42.671617,-73.246981,144.51735894709827
01270,789.0,770.0,0.0,0.0,11.0,49.2,MA,31.858,42.515272,-73.031166,24.766149789691756
01301,17766.0,16420.0,341.0,265.0,1140.0,43.9,MA,25.491,42.626761,-72.60153000000003,696.9518653642463
