Zipcode,Land Area (sq mi),Center Point Lat,Center Point Lng
2871,17.04,41.587299,-71.261246
2872,5.948,41.597055,-71.320666
2873,2.808,41.533083,-71.780518
2874,15.166,41.508687,-71.481743
2875,1.154,41.456486,-71.638865
2876,0.127,41.994278,-71.58549
2878,29.054,41.609436,-71.178113
2879,37.38,41.424019,-71.534277
2881,3.614,41.478083,-71.524717
2882,12.795,41.415152,-71.465251
2885,6.121,41.725138,-71.258805
2886,14.925,41.703849,-71.455568
2888,5.93,41.747671,-71.406118
2889,8.697,41.700591,-71.376927
2891,26.375,41.361854,-71.789689
2892,27.394,41.492004,-71.594774
2893,7.871,41.679006,-71.518688
2894,4.335,41.444477,-71.703238
2895,7.739,42.001706,-71.499949
2896,23.677,41.975186,-71.544069
2898,11.55,41.51764,-71.668521
2903,1.793,41.81823,-71.409088
2904,5.194,41.858334,-71.436294
2905,3.748,41.784725,-71.396103
2906,3.241,41.840169,-71.390408
2907,2.201,41.798593,-71.42463
2908,3.161,41.839825,-71.436794
2909,3.457,41.821417,-71.453215
2910,3.441,41.774999,-71.435594
2911,2.481,41.854888,-71.472812
2912,0.043,41.825593,-71.402239
2914,4.885,41.814838,-71.365333
2915,5.535,41.772847,-71.354839
2916,2.555,41.842661,-71.352438
2917,21.334,41.905774,-71.523305
2919,23.485,41.82744,-71.519879
2920,9.184,41.767344,-71.465508
2921,13.143,41.768455,-71.515778
3031,34.676,42.874864,-71.600503
3032,25.202,42.997261,-71.363424
3033,19.77,42.749263,-71.67567
3034,32.981,43.05687,-71.340559
3036,25.947,42.98453,-71.255104
3037,48.226,43.141274,-71.248197
3038,35.986,42.892761,-71.276763
3042,25.995,43.054187,-71.084193
3043,31.317,42.997,-71.817788
3044,16.908,43.00037,-71.119161
3045,35.665,43.021515,-71.563462
3046,30.903,43.116338,-71.595355
3047,26.386,42.93874,-71.879424
3048,29.554,42.742874,-71.761755
3049,31.763,42.749624,-71.585402
3051,28.339,42.760508,-71.409494
3052,14.932,42.846081,-71.468283
3053,41.064,42.869839,-71.387845
3054,32.527,42.852034,-71.519876
3055,24.858,42.818645,-71.673354
